,Author,Poem
103,"Albaíno,Genaro",En Medio De Esta Casualidad
104,"Albaíno,Genaro",He Logrado Des-Armar
105,"Albaíno,Genaro",Nací En Pudahuel
106,"Albaíno,Genaro",Huelgan Las Presas
107,"Albaíno,Genaro",Maldita Poesía
108,"Albaíno,Genaro",Vieja Lámpara
109,"Albaíno,Genaro",Yo No Vendo Mis Ojos Negros
110,"Alberca,Marta",Tras Meses De Ausencias
111,"Alberca,Marta",Compartimos Una Hija
112,"Alberca,Marta",Los Primeros Rayos
113,"Alberca,Marta",Recuerdo Mis Primeras Gafas
114,"Alberca,Marta",Tu Infancia Es Un Regalo
115,"Alcántara Fernández,Orlando",¡Abracadabra!
116,"Alcántara Fernández,Orlando",Incógnito Mi Amor Se Revela Pleno
117,"Alcántara Fernández,Orlando",Pendón E Ignominia
118,"Alcántara Fernández,Orlando",Ese Amor Vuelto Llamas
119,"Alcántara Fernández,Orlando",¿Qué Animal Soy Yo Que Me Desvelo?
120,"Alcántara Fernández,Orlando",Hay Una Muerte Inédita
121,"Alcántara Fernández,Orlando",Jehováh-Yavéh: Dios Grácil
122,"Alcántara Fernández,Orlando",Padre Nuestro Que Estás En La Biblia
123,"Alcántara Fernández,Orlando",Sin Rubor Por Ti Defino El Amor
124,"Alcántara Fernández,Orlando",Si Algún Día Te Escribo Un Poema
125,"Alcántara Fernández,Orlando",¡Qué Profesión Más Hermosa
126,"Alcántara Fernández,Orlando",Te Amo Adrede
127,"Alfaro Velásquez,Carlos E.",Penélope
128,"Almagro,Ramón de",Como Un Pájaro
129,"Almagro,Ramón de",... Y Entonces Tú Me Hablarás
130,"Almagro,Ramón de",El Velero Blanco
131,"Almagro,Ramón de",La Niña Sentada A Orillas Del Lago
132,"Almagro,Ramón de",Me Han Tirado Un Beso Esta Mañana
133,"Almagro,Ramón de",Picoteando La Cáscara
134,"Almagro,Ramón de",Tú Puedes Olvidar Y Los Recuerdos
135,"Almagro,Ramón de",Quiero Palmar Cerca Del Obelisco
136,"Almagro,Ramón de",Tu Espalda Es Mi Descanso Mi Sosiego
137,"Alonso,Patricia",Mi Familia
138,"Alonso Rodríguez,Blanca-María","¿Por Qué, Señor, He De Esperar Al Día"
139,"Alonso Rodríguez,Blanca-María",—Quiero Pintar Un Beso Redondo Y Grande
140,"Alonso Rodríguez,Blanca-María",Siempre Hilando El Camino
141,"Alonso Rodríguez,Blanca-María","—Quiero Volar Al Cielo, Madre"
142,"Altuzar Suárez,Mario Luis",Es Tan Quejumbroso
143,"Altuzar Suárez,Mario Luis",Se Observa Tan Cerca El Precipicio
144,"Altuzar Suárez,Mario Luis",En El Canto Del Silencio
145,"Altuzar Suárez,Mario Luis",Miro El Espacio Que Me Rodea
146,"Altuzar Suárez,Mario Luis",Plenitud
147,"Altuzar Suárez,Mario Luis",Ofrendado
148,"Altuzar Suárez,Mario Luis",Soplo
149,"Altuzar Suárez,Mario Luis",Resurge En El Paraíso Prometido
150,"Altuzar Suárez,Mario Luis",Qué Absurdos Resultan Los Hombres
151,"Altuzar Suárez,Mario Luis",Los Clandestinos Del Amor
152,"Altuzar Suárez,Mario Luis",Sumergido En La Sinuosidad De Tu Cuerpo
153,"Alvarado,Tito",Fallujah
154,"Álvarez-Hidalgo,Francisco",Perdido
155,"Álvarez-Hidalgo,Francisco","Estoy Deshabitado, Sin Rumores"
156,"Álvarez-Hidalgo,Francisco",Te Siembras En La Noche Y No Germinas
157,"Álvarez-Hidalgo,Francisco","Te Imaginé Primero, Llegó Luego"
158,"Álvarez-Hidalgo,Francisco",Muerta
159,"Álvarez-Hidalgo,Francisco",Reiteración
160,"Álvarez-Hidalgo,Francisco","Mi Río, Mi Torrente"
161,"Álvarez-Hidalgo,Francisco",Turista
162,"Álvarez-Hidalgo,Francisco",Sobre Tu Libro Me Quedé Dormida
163,"Álvarez Bürger,Antonio",Los Dos
164,"Álvarez Bürger,Antonio",Repican Como Golpes De Campana Tus Pesares
165,"Álvarez Bürger,Antonio",Mientras Más Viejo
166,"Álvarez Bürger,Antonio",Simulé Estar Vivo
167,"Álvarez Bürger,Antonio",Qué Perverso Es El Invierno Con Los Árboles
168,"Álvarez Bürger,Antonio",Poesía Amarga
169,"Álvarez Bürger,Antonio",Las Esquinas Son Aladas
170,"Álvarez Bürger,Antonio",Ofrendártelo Todo
171,"Álvarez Bürger,Antonio",Parece Que No Tengo Ya Cristales En Los Ojos
172,"Álvarez Bürger,Antonio",Subes Al Impertérrito Ferrocarril De La Vida
173,"Álvarez,Atilio",La Primera Víctima
174,"Álvarez,Héctor",Me Gustan
175,"Álvarez,Héctor",Hay Una Película
176,"Álvarez,Luis",Poemas Extranjeros
177,"Álvarez,Luis",Poema Para Una Mujer Innombrada
178,"Álvarez,Luis",Por Aquí Llegaro
179,"Álvarez,Luis",Hoy He Vuelto A Ver Amarillos
